Epoch 236: duration loss = 0.413 | prior loss = 1.357 | diffusion loss = 0.097| Total loss = 1.868
Epoch 237: duration loss = 0.409 | prior loss = 1.355 | diffusion loss = 0.099| Total loss = 1.863
Epoch 238: duration loss = 0.413 | prior loss = 1.354 | diffusion loss = 0.064| Total loss = 1.831
Epoch 239: duration loss = 0.408 | prior loss = 1.355 | diffusion loss = 0.127| Total loss = 1.890
Epoch 240: duration loss = 0.414 | prior loss = 1.353 | diffusion loss = 0.121| Total loss = 1.889
Epoch 241: duration loss = 0.417 | prior loss = 1.352 | diffusion loss = 0.155| Total loss = 1.925
Epoch 242: duration loss = 0.411 | prior loss = 1.354 | diffusion loss = 0.126| Total loss = 1.892
Epoch 243: duration loss = 0.412 | prior loss = 1.354 | diffusion loss = 0.145| Total loss = 1.911
Epoch 244: duration loss = 0.417 | prior loss = 1.352 | diffusion loss = 0.147| Total loss = 1.915
Epoch 245: duration loss = 0.414 | prior loss = 1.358 | diffusion loss = 0.150| Total loss = 1.923
Epoch 246: duration loss = 0.412 | prior loss = 1.354 | diffusion loss = 0.110| Total loss = 1.876
Epoch 247: duration loss = 0.416 | prior loss = 1.356 | diffusion loss = 0.113| Total loss = 1.884
Epoch 248: duration loss = 0.413 | prior loss = 1.354 | diffusion loss = 0.143| Total loss = 1.910
Epoch 249: duration loss = 0.413 | prior loss = 1.355 | diffusion loss = 0.132| Total loss = 1.900
Epoch 250: duration loss = 0.408 | prior loss = 1.357 | diffusion loss = 0.138| Total loss = 1.903
Epoch 251: duration loss = 0.418 | prior loss = 1.358 | diffusion loss = 0.148| Total loss = 1.924
Epoch 252: duration loss = 0.419 | prior loss = 1.357 | diffusion loss = 0.083| Total loss = 1.858
Epoch 253: duration loss = 0.416 | prior loss = 1.356 | diffusion loss = 0.091| Total loss = 1.863
Epoch 254: duration loss = 0.411 | prior loss = 1.358 | diffusion loss = 0.099| Total loss = 1.868
Epoch 255: duration loss = 0.417 | prior loss = 1.353 | diffusion loss = 0.110| Total loss = 1.879
Epoch 256: duration loss = 0.421 | prior loss = 1.358 | diffusion loss = 0.112| Total loss = 1.891
Epoch 257: duration loss = 0.413 | prior loss = 1.356 | diffusion loss = 0.150| Total loss = 1.918
Epoch 258: duration loss = 0.410 | prior loss = 1.358 | diffusion loss = 0.095| Total loss = 1.863
Epoch 259: duration loss = 0.415 | prior loss = 1.358 | diffusion loss = 0.136| Total loss = 1.909
Epoch 260: duration loss = 0.417 | prior loss = 1.358 | diffusion loss = 0.098| Total loss = 1.873
Epoch 261: duration loss = 0.420 | prior loss = 1.356 | diffusion loss = 0.142| Total loss = 1.918
Epoch 262: duration loss = 0.419 | prior loss = 1.354 | diffusion loss = 0.123| Total loss = 1.896
Epoch 263: duration loss = 0.419 | prior loss = 1.361 | diffusion loss = 0.109| Total loss = 1.889
Epoch 264: duration loss = 0.417 | prior loss = 1.358 | diffusion loss = 0.114| Total loss = 1.889
Epoch 265: duration loss = 0.420 | prior loss = 1.359 | diffusion loss = 0.120| Total loss = 1.899
Epoch 266: duration loss = 0.419 | prior loss = 1.362 | diffusion loss = 0.128| Total loss = 1.909
Epoch 267: duration loss = 0.426 | prior loss = 1.366 | diffusion loss = 0.088| Total loss = 1.880
Epoch 268: duration loss = 0.420 | prior loss = 1.360 | diffusion loss = 0.075| Total loss = 1.855
Epoch 269: duration loss = 0.422 | prior loss = 1.362 | diffusion loss = 0.102| Total loss = 1.887
Epoch 270: duration loss = 0.417 | prior loss = 1.360 | diffusion loss = 0.134| Total loss = 1.911
Epoch 271: duration loss = 0.417 | prior loss = 1.361 | diffusion loss = 0.109| Total loss = 1.888
Epoch 272: duration loss = 0.414 | prior loss = 1.360 | diffusion loss = 0.107| Total loss = 1.880
Epoch 273: duration loss = 0.420 | prior loss = 1.355 | diffusion loss = 0.186| Total loss = 1.961
Epoch 274: duration loss = 0.422 | prior loss = 1.357 | diffusion loss = 0.155| Total loss = 1.933
